team,conference,division,wins,losses,points,win_pct,division_rank,conference_rank
Buffalo Sabres,Eastern,Atlantic,39,19,78,0.609,1,2
Tampa Bay Lightning,Eastern,Atlantic,39,19,78,0.629,2,3
Detroit Red Wings,Eastern,Atlantic,36,21,72,0.563,3,4
Montreal Canadiens,Eastern,Atlantic,34,18,68,0.548,4,5
Boston Bruins,Eastern,Atlantic,35,22,70,0.556,5,8
Ottawa Senators,Eastern,Atlantic,31,22,62,0.500,6,10
Florida Panthers,Eastern,Atlantic,31,29,62,0.492,7,14
Toronto Maple Leafs,Eastern,Atlantic,27,26,54,0.422,8,15
Carolina Hurricanes,Eastern,Metropolitan,40,17,80,0.635,1,1
Pittsburgh Penguins,Eastern,Metropolitan,32,17,64,0.508,2,6
New York Islanders,Eastern,Metropolitan,36,23,72,0.563,3,7
Columbus Blue Jackets,Eastern,Metropolitan,32,21,64,0.508,4,9
Philadelphia Flyers,Eastern,Metropolitan,29,22,58,0.468,5,11
Washington Capitals,Eastern,Metropolitan,31,26,62,0.484,6,12
New Jersey Devils,Eastern,Metropolitan,32,30,64,0.500,7,13
New York Rangers,Eastern,Metropolitan,24,30,48,0.387,8,16
Colorado Avalanche,Western,Central,43,10,86,0.694,1,1
Dallas Stars,Western,Central,39,14,78,0.619,2,2
Minnesota Wild,Western,Central,37,16,74,0.578,3,3
Utah Mammoth,Western,Central,34,25,68,0.540,4,5
Nashville Predators,Western,Central,28,27,56,0.444,5,11
Winnipeg Jets,Western,Central,26,26,52,0.419,6,12
St. Louis Blues,Western,Central,25,29,50,0.397,7,13
Chicago Blackhawks,Western,Central,23,29,46,0.365,8,15
Anaheim Ducks,Western,Pacific,35,25,70,0.556,1,4
Vegas Golden Knights,Western,Pacific,29,21,58,0.453,2,6
Edmonton Oilers,Western,Pacific,31,25,62,0.484,3,7
Seattle Kraken,Western,Pacific,29,24,58,0.468,4,8
San Jose Sharks,Western,Pacific,30,25,60,0.492,5,9
Los Angeles Kings,Western,Pacific,26,23,52,0.413,6,10
Calgary Flames,Western,Pacific,25,30,50,0.403,7,14
Vancouver Canucks,Western,Pacific,19,36,38,0.302,8,16
